city,timestamp,temperature,season
New York,2010-01-01,-4.919974964669703,winter
New York,2010-01-02,6.600591807698456,winter
New York,2010-01-03,-9.067939507027862,winter
New York,2010-01-04,-5.169568729997216,winter
New York,2010-01-05,1.9045577511170089,winter
New York,2010-01-06,3.468345392839555,winter
New York,2010-01-07,0.5211679497351521,winter
New York,2010-01-08,5.929536498796005,winter
New York,2010-01-09,5.049890624040066,winter
New York,2010-01-10,0.12783449490386325,winter
New York,2010-01-11,-1.681543454939469,winter
New York,2010-01-12,-2.866585538763249,winter
New York,2010-01-13,0.5432768213543484,winter
New York,2010-01-14,1.4903320654976473,winter
New York,2010-01-15,6.477258852527939,winter
New York,2010-01-16,-2.6937344415044295,winter
New York,2010-01-17,-1.8576043505543207,winter
New York,2010-01-18,2.570337462210242,winter
New York,2010-01-19,-1.203983411897151,winter
New York,2010-01-20,3.614511240440455,winter
New York,2010-01-21,1.3984488400747521,winter
New York,2010-01-22,-5.262850722790443,winter
New York,2010-01-23,0.2527270890727334,winter
New York,2010-01-24,-7.223084886563957,winter
New York,2010-01-25,3.2815157879787544,winter
New York,2010-01-26,2.8507758290750256,winter
New York,2010-01-27,-0.6117051261493444,winter
New York,2010-01-28,9.28382226574978,winter
New York,2010-01-29,-3.1884184057321945,winter
New York,2010-01-30,-8.918615736172907,winter
New York,2010-01-31,-4.677242170660888,winter
New York,2010-02-01,4.895931740525618,winter
New York,2010-02-02,3.9287675988352984,winter
New York,2010-02-03,-5.298249491989742,winter
New York,2010-02-04,4.913685542118723,winter
New York,2010-02-05,-2.0450704681265366,winter
New York,2010-02-06,4.35516669488814,winter
New York,2010-02-07,-1.07727975270297,winter
New York,2010-02-08,5.779614582682376,winter
New York,2010-02-09,-6.7860922830003645,winter
New York,2010-02-10,1.2880163378801914,winter
New York,2010-02-11,-3.9854412809115485,winter
New York,2010-02-12,-3.7040919274615858,winter
New York,2010-02-13,0.1374622340613173,winter
New York,2010-02-14,-2.725538862681129,winter
New York,2010-02-15,-5.713909161124894,winter
New York,2010-02-16,-0.3217587352400644,winter
New York,2010-02-17,-0.3993991219194459,winter
New York,2010-02-18,-3.3045989050433215,winter
New York,2010-02-19,-1.8855637597294441,winter
New York,2010-02-20,0.39729429538248756,winter
New York,2010-02-21,-4.3085698847975085,winter
New York,2010-02-22,3.8361817300950602,winter
New York,2010-02-23,-1.702683874058231,winter
New York,2010-02-24,-4.107283206487297,winter
New York,2010-02-25,2.977330385555061,winter
New York,2010-02-26,2.6308479471627426,winter
New York,2010-02-27,-7.548871306274705,winter
New York,2010-02-28,4.282080208649412,winter
New York,2010-03-01,5.450991910326969,spring
New York,2010-03-02,10.709651010379414,spring
New York,2010-03-03,13.028182841231873,spring
New York,2010-03-04,15.84744459909844,spring
New York,2010-03-05,15.883731926125687,spring
New York,2010-03-06,11.640915520797519,spring
New York,2010-03-07,16.38581912345309,spring
New York,2010-03-08,6.7399750552395865,spring
New York,2010-03-09,13.662090691851043,spring
New York,2010-03-10,11.655347789291994,spring
New York,2010-03-11,14.378890391271277,spring
New York,2010-03-12,10.998111192822524,spring
New York,2010-03-13,10.856478856844475,spring
New York,2010-03-14,9.062358238766842,spring
New York,2010-03-15,3.6495547438429865,spring
New York,2010-03-16,9.07165991399829,spring
New York,2010-03-17,1.3575804540959446,spring
New York,2010-03-18,6.785546865402464,spring
New York,2010-03-19,8.216446434078959,spring
New York,2010-03-20,8.793384319655754,spring
New York,2010-03-21,7.967574081695094,spring
New York,2010-03-22,14.399241156195764,spring
New York,2010-03-23,10.099837447606122,spring
New York,2010-03-24,11.480267200180037,spring
New York,2010-03-25,8.951006214622797,spring
New York,2010-03-26,21.405965929066753,spring
New York,2010-03-27,4.491975045107197,spring
New York,2010-03-28,2.8843413437162804,spring
New York,2010-03-29,8.625085345519864,spring
New York,2010-03-30,3.2945198310594437,spring
New York,2010-03-31,10.991771007858565,spring
New York,2010-04-01,8.17523725262303,spring
New York,2010-04-02,8.096768883332537,spring
New York,2010-04-03,9.055771966641592,spring
New York,2010-04-04,9.663608463382204,spring
New York,2010-04-05,17.072673194340137,spring
New York,2010-04-06,10.195751721082491,spring
New York,2010-04-07,12.04059462161286,spring
New York,2010-04-08,8.84801492601377,spring
New York,2010-04-09,6.566013037945774,spring
New York,2010-04-10,7.647749220431911,spring
New York,2010-04-11,6.684836253602643,spring
New York,2010-04-12,5.3608446708269515,spring
New York,2010-04-13,6.675846316741776,spring
New York,2010-04-14,13.515956540690516,spring
New York,2010-04-15,10.18779163392053,spring
New York,2010-04-16,15.367895815141493,spring
New York,2010-04-17,5.628700245876011,spring
New York,2010-04-18,19.63331216508565,spring
New York,2010-04-19,16.130468730091298,spring
New York,2010-04-20,10.366293543286428,spring
New York,2010-04-21,0.42754797539353184,spring
New York,2010-04-22,12.575985516604376,spring
New York,2010-04-23,18.693463099178093,spring
New York,2010-04-24,13.107307266363675,spring
New York,2010-04-25,9.584980813650242,spring
New York,2010-04-26,11.073127323236655,spring
New York,2010-04-27,7.307862564425384,spring
New York,2010-04-28,8.71203940170659,spring
New York,2010-04-29,15.596927933469848,spring
New York,2010-04-30,8.502107898882336,spring
New York,2010-05-01,7.98611665551898,spring
New York,2010-05-02,11.122589021839387,spring
New York,2010-05-03,14.363190740375252,spring
New York,2010-05-04,19.07187578092314,spring
New York,2010-05-05,8.718613343419342,spring
New York,2010-05-06,6.037319368136147,spring
New York,2010-05-07,10.552556466353764,spring
New York,2010-05-08,13.45096231453484,spring
New York,2010-05-09,3.8800691796465827,spring
New York,2010-05-10,10.306847706261431,spring
New York,2010-05-11,28.244507449679,spring
New York,2010-05-12,10.37029351956425,spring
New York,2010-05-13,1.758132925866639,spring
New York,2010-05-14,-0.283106047198618,spring
New York,2010-05-15,11.140472791215698,spring
